FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_etablissement,adresse_etablissement,journee_ouverture,activite_categorie,geometry,agregation
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4552,Kara,Bassar,Bassar 1,Bassar,Biakpabe,Auto-école les Intégrés,Nsp,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (0.7799816666666667 9.273484999999996),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4553,Maritime,Lacs,Lacs 3,Gbodjomé,Agbodan,Auto-école Saint Jules Agbodan,99915996,"{samedi,vendredi,jeudi,mercredi,mardi,lundi}",{Auto-école},POINT (1.4165491173625513 6.206722459544289),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4554,Maritime,Lacs,Lacs 3,Gbodjomé,Agbavi,Auto-école Damaris Agbavi,90047716,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.3947366666666672 6.189736666666666),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4555,Maritime,Lacs,Lacs 4,Anfoin,Afoin Kpota,Auto-école le Berger,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.6101466666666668 6.327245),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4556,Maritime,Zio,Zio 1,Tsévié,Agbalipe,Auto-école Merciful God,BP 78 Tsévié,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.212641027950797 6.4318829525443215),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4557,Maritime,Lacs,Lacs 2,Aklakou,Aklakou Noblokome,Le Renouveau Centre de Formation Et d Éducation Routiere Aklakou,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.7121201915079372 6.338482624851224),Néant
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4558,Maritime,Vo,Vo 1,Vogan,Yesuvito,Auto-école Domino,99463827/91825854/98564654,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.529565847662365 6.333567118068137),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4559,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Agbleta,Auto-école Musai Togo,98254049 / 99044122,"{lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche}",{Auto-école},POINT (1.6252950000000002 6.493359999999999),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_455a,Maritime,Vo,Vo 1,Vogan,Agbemavo,Auto-école Saint Kizito Agbemavo,98840953 Vogan,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.5232577074397766 6.340452162204777),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_455b,Maritime,Lacs,Lacs 1,Canton D’Aneho,Amadoto,Auto-école Levireste,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.6138872290738617 6.23845617168974),Non agréée
