FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_etablissement,adresse_etablissement,journee_ouverture,activite_categorie,geometry,agregation
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44cb,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wonyome,Auto-école Chara,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1444983333333334 6.1936149999999985),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44cc,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wonyome,Auto-école Sainte Famille Wognomé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1584337877419204 6.189068834586941),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44cd,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Yokoe,Auto-école le Permis Yokoè,BP: 14267 Lomé Togo,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1430919671290058 6.176499461154605),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ce,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Dassakope,Auto-école Tam 228,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.159803333333333 6.209399999999999),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44cf,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Logogome,Auto-école Beraca Bered,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1521166666666678 6.217698333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44d0,Maritime,Golfe,Golfe 5,Aflao-Gakli,Avedji Telessou,Auto-école KMK Téléssou,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1762416666666673 6.1957533333333314),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44d1,Maritime,Golfe,Golfe 5,Aflao-Gakli,Amadahome,Auto-école Citoyenne Inclusive,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1662933333333334 6.20357),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44d2,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Vakpossito,Auto-école la Capitale,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1596534261198543 6.220302674772593),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44d3,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Nanegbe,Auto-école Dieudonne Nanégbé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1570192320255284 6.229642333244105),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44d4,Maritime,Golfe,Golfe 5,Aflao-Gakli,Atigangome,Auto-école le Reveil,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.146595 6.2055533333333335),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44d5,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sakpleto Kope,Auto-école Groupe Chez Toi,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1631633333333333 6.2437700000000005),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44d6,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Dalime,Auto-école la Nature,Nsp,Nsp,{Auto-école},POINT (1.1626453146736735 6.236132855456439),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44d7,Maritime,Golfe,Golfe 3,Bè-Ouest,Doumassesse,Auto-école St Justin,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2170666666666674 6.155031666666667),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44d8,Maritime,Golfe,Golfe 3,Bè-Ouest,Forever,Auto-école L'Itineraire Forever,93494613,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2268650000000008 6.160558333333332),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44d9,Maritime,Golfe,Golfe 3,Bè-Ouest,Lome 2,Auto-école Dieu Seul Suffit,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2343572757854386 6.17814728040377),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44da,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedogan,Auto-école à Dieu la Gloire Agbalépédogan,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.199397840217735 6.1973694520591405),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44db,Maritime,Golfe,Golfe 5,Aflao-Gakli,N/a,Auto-école Gloire à Dieu Aflao-Gakli,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.1889133333333333 6.17233),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44dc,Maritime,Golfe,Golfe 5,Aflao-Gakli,N/a,Auto-école Saint Elie Annexe,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1992415792649476 6.170103008168669),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44dd,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Auto-école le leader Totsi,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.1884950000000003 6.197031666666668),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44de,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Akplome,Auto-école Dieu Grace,19BP40,"{jeudi, lundi, mardi, mercredi}",{Auto-école},POINT (1.229066666666667 6.3212866666666665),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44df,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Tsive,Auto-école  Saint Christophe Annexe Tsivé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2149700000000008 6.3178849999999995),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44e0,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Yokoe,Auto-école Dakopas,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1533070021818277 6.180571356135353),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44e1,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedogan,Auto-école CFC Sarl,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.201546731895331 6.179983556574924),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44e2,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Yokoe,Auto-école Jesus T'aime,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.146415 6.178336666666667),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44e3,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Awatame,Auto-école la Joie Awatamé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1624308854453222 6.180061693446676),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44e4,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Yokoe,Auto-école Bon Conducteur,A Côté De L'école Primaire Yokoe Copegan,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1384963168719777 6.17741434898323),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44e5,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Klikame,Auto-école Basileia Klikamé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1145445758428403 6.250722010179545),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44e6,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Dekpo,Auto-école Mega Succès,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.117213163454005 6.227652510561415),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44e7,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zopomahe,Auto-école le Génie Zopomahé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1474848457778564 6.23363345884964),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44e8,Maritime,Golfe,Golfe 5,Aflao-Gakli,Djidjole,Auto-école des Grape,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1874166666666666 6.183361666666668),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44e9,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedo,Auto-école la Dignite Sûr,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.202668333333334 6.194548333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ea,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Auto-école Adonaï Adidogomé,Nsp,"{jeudi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1787966666666672 6.176594999999998),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44eb,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agbalepedogan,Auto-école L2CI,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2001500918119163 6.1990899084027244),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ec,Maritime,Golfe,Golfe 3,Bè-Ouest,Casablanca,Auto-école Damaris Casablanca,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2020446 6.1486219),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ed,Maritime,Golfe,Golfe 5,Aflao-Gakli,Djidjole,Auto-école Feu Vert,BP 333,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1967500000000006 6.177315000000002),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ee,Maritime,Golfe,Golfe 5,Aflao-Gakli,Lomégan,Auto-école Amenouvévé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2042450000000002 6.186493333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ef,Maritime,Golfe,Golfe 5,Aflao-Gakli,Djidjole,Auto-école la Renaissance Djidjolé,Nsp,Nsp,{Auto-école},POINT (1.1882133333333338 6.181489999999999),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44f0,Maritime,Golfe,Golfe 5,Aflao-Gakli,Djidjole,Auto-école la Vision,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2021816666666663 6.178543333333332),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44f1,Maritime,Golfe,Golfe 3,Bè-Ouest,Djidjole,Auto-école la Sympatique,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2044316666666668 6.176146666666667),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44f2,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Auto Ecole / Garage la Patience,Nsp,"{jeudi, lundi, mardi, samedi, vendredi}",{Auto-école},POINT (1.1841583333333332 6.198431666666666),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44f3,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi Gblinkome,Auto-école St Antoine Junior,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1813957858779862 6.191757771230936),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44f4,Maritime,Golfe,Golfe 3,Bè-Ouest,Djidjole,Auto-école les Prodiges,BP 1853 Lome-Togo,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2024873838674335 6.173072176668036),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44f5,Maritime,Golfe,Golfe 3,Bè-Ouest,Lomegan,Auto-école le Gar,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2058822511445 6.180312585039518),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44f6,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Auto-école ICAE-Vie,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1838816666666665 6.197978333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44f7,Maritime,Golfe,Golfe 5,Aflao-Gakli,Gblenkome,Auto-école Djifa,Nsp,"{jeudi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.185565985539394 6.189940384627703),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44f8,Maritime,Golfe,Golfe 5,Aflao-Gakli,Avedji,Auto-école le Creneau,BP 8798,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.1751366666666674 6.190169999999999),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44f9,Maritime,Golfe,Golfe 5,Aflao-Gakli,Sagbado,Auto-école Rabbouni,BP 14008,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1500399999999995 6.199046666666666),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44fa,Maritime,Golfe,Golfe 5,Aflao-Gakli,Avedji,Auto-école CFCP,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1713509698210836 6.200422422515475),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44fb,Maritime,Golfe,Golfe 5,Aflao-Gakli,Amadahome,Auto-Ecole CV-AV,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.1533746648672873 6.199544222765724),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44fc,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome Franciscain,Auto-école la Prudence Adidogomé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1791084573644872 6.185009058894415),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44fd,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Auto-école les Amis Adidogomé,04 Lome 762,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1681049999999993 6.181533333333335),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44fe,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Auto-école Ava-Togo Adidogomé,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.1508349999999994 6.203371666666668),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_44ff,Maritime,Golfe,Golfe 5,Aflao-Gakli,Amadahome,Auto-école le Jalon,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1588466666666668 6.1987016666666666),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4500,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Adidoadin,Auto-école Merveilles de Paris,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1866331516324233 6.20740489002387),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4501,Maritime,Golfe,Golfe 3,Bè-Ouest,Agbalepedogan,Auto-école Adonaï Agbalépédogan,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2075833910232152 6.188512960678962),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4502,Maritime,Golfe,Golfe 5,Aflao-Gakli,Agbalepedogan,Auto-école Dieu Merci Agbalépédogan,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.1925266666666667 6.196786666666665),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4503,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Adidoadin,Auto-école la Colombe de Dieu Annexe,Nsp,"{jeudi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.187888333333334 6.206473333333335),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4504,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agbalepedo Dabla Kope,Auto-école BM FEOP,Nsp,Nsp,{Auto-école},POINT (1.2053166666666668 6.19956),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4505,Maritime,Golfe,Golfe 1,Bè-Est,Be,Auto-école ONG Domino,90053418,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2453460894532717 6.1448207409752955),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4506,Maritime,Golfe,Golfe 1,Bè-Est,Be Houveme,Auto-école la Référence Houvémé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2492262048428784 6.147984792036858),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4507,Maritime,Golfe,Golfe 1,Bè-Est,Be Souza Kotokoukodzi,Auto-école Saint Antoine de Padoue,91344868,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2543852322066162 6.136101278951408),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4508,Maritime,Golfe,Golfe 4,Amoutivé,Be Bassadji,Auto-école Emmanuel Jules,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.235801714109525 6.1435482418317715),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4509,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Akato Deme,Auto-école la Liberté Akato,Non Loin du Carrefour Akato Deme,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.0989683333333333 6.2033933333333335),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_450a,Maritime,Golfe,Golfe 3,Bè-Ouest,Gbossime,Auto-école Basileia Gbossimé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2047633333333334 6.159006666666667),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_450b,Maritime,Golfe,Golfe 1,Bè-Est,Be Hedze,Auto-école Saint Kizito Bè Hédzé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2439466666666663 6.147713333333332),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_450c,Maritime,Golfe,Golfe 1,Bè-Est,Ablogame,Auto-école THV,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2558936734708845 6.13647974897605),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_450d,Maritime,Golfe,Golfe 1,Bè-Est,Gbenyedji,Auto-école Diipesha,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2554529188558758 6.14785473696195),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_450e,Maritime,Golfe,Golfe 1,Bè-Est,Be Kpota,Auto-école Rapha Bè Kpota,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2467189225578386 6.152805466266955),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_450f,Maritime,Golfe,Golfe 1,Bè-Est,Ablogame,Auto-école du Mono,91991803,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2615141120257083 6.136625342074),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4510,Maritime,Golfe,Golfe 1,Bè-Est,Be Kpota,Auto-école Pas de Temps,90243911,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2449009123698282 6.15238311686108),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4511,Maritime,Golfe,Golfe 1,Bè-Est,Souza Netime,Auto-école le Genie Souza Nètimé,13BP: 538 Lomé-togo,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2358171560192586 6.137109839428764),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4512,Maritime,Golfe,Golfe 1,Bè-Est,Be-kpota,Auto-école la Lumiere,Nsp,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2660399999999998 6.157544999999999),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4513,Maritime,Golfe,Golfe 1,Bè-Est,Souzanetime,Auto-école Richmond,98736078,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2432383333333334 6.137831666666666),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4514,Maritime,Golfe,Golfe 1,Bè-Est,Akodessewa,Auto-école Moderne,01BP1383,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2649747812850825 6.153873266610683),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4515,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Sogbossito,Auto-école St GK,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1716183333333337 6.252565000000001),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4516,Maritime,Golfe,Golfe 1,Bè-Est,Hadi Kpota,Auto-école le Requin,93207625,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2666438518113032 6.16374566326345),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4517,Maritime,Golfe,Golfe 1,Bè-Est,N/a,Auto-école à Dieu la Gloire Bè,92055124,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2753943770261118 6.175815977433112),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4518,Maritime,Golfe,Golfe 1,Bè-Est,Be Kpota,Auto-école Ecole JADS,92530809,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.262223218405205 6.160959381838679),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4519,Maritime,Golfe,Golfe 1,Bè-Est,Atiegou,Auto-école le Professeur,90134934/99953737,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2676333371633681 6.1781458791487625),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_451a,Maritime,Golfe,Golfe 2,Bè-Centre,Be Kpota,Auto-école J.charmer,98447616/91694261,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2413744305875263 6.151178717573525),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_451b,Maritime,Golfe,Golfe 1,Bè-Est,Atiegou Kolas,Auto-école Emaris,91823279,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.2755823000651545 6.1785082320962),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_451c,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Logope,Auto-école le Genie Logopé,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1866553046907016 6.233949060373368),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_451d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Logope,Auto-école Awara,Kossigan,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.1851066666666674 6.234589999999998),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_451e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Logope,Auto-école KMK Sarl Annexe,Nsp,"{jeudi, lundi, mardi, mercredi, samedi, vendredi}",{Auto-école},POINT (1.182116666666667 6.230106666666667),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_451f,Maritime,Golfe,Golfe 1,Bè-Est,Afame,Auto-école le Genie Afamé,BP 4234,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2791200000000011 6.168874999999999),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4520,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Auto-école Dieu Merci,92806935,"{jeudi, lundi, mardi, mercredi, vendredi}",{Auto-école},POINT (1.2918499255797147 6.169704966522096),Non agréée
